# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2795
#@/user_id	c4e4d588-8969-45dd-ab6e-a3afd9cb4349
huan 	換	c=3 d=0.511709 t=2795
huan 	環	c=2 d=1.97531 t=2308
huan cheng 	換成	c=2 d=0.16696 t=2795
huan jing 	環境	c=17 d=3.85396 t=2795
huan le 	換了	c=2 d=1.00076 t=2562
huan ying 	歡迎	c=1 d=0.273898 t=2795
huang hou 	皇后	c=1 d=1 t=2592
hui 	會	c=1 d=0.166145 t=2795
hui bian 	彙編	c=5 d=4.84472 t=1500
hui che 	回車	c=4 d=2.2686 t=1725
hui chu xian 	會出現	c=1 d=0.802519 t=2795
hui hua 	繪畫	c=1 d=1 t=2697
hui ka 	會卡	c=0 d=0.00845849 t=2795
hui ka si 	會卡死	c=1 d=1 t=1517
hui ka zhu 	會卡住	c=1 d=0.0850088 t=2795
hui you 	會有	c=1 d=0.0298969 t=2795
huo zhe 	或者	c=4 d=2.08891 t=2194
ji 	機	c=1 d=1 t=2022
ji 	集	c=2 d=1.9802 t=2465
ji ba 	幾把	c=1 d=1 t=2211
ji ben 	基本	c=2 d=1.92869 t=2411
ji beng shang 	及泵上	c=1 d=0.218712 t=2795
ji bi ji 	記筆記	c=1 d=1 t=1996
ji chu 	基礎	c=2 d=0.783333 t=2795
ji chu xue xi 	基礎學習	c=1 d=1 t=1147
ji ge 	幾個	c=1 d=1 t=2563
ji ke 	即可	c=1 d=1 t=1482
ji qi 	機器	c=1 d=1 t=2462
ji shu 	技術	c=1 d=0.154896 t=2795
ji suan 	計算	c=1 d=1 t=2021
ji suan ji 	計算機	c=10 d=1.07139 t=2795
ji wei 	幾位	c=1 d=1 t=2482
ji xu 	繼續	c=1 d=1 t=2566
ji yu 	基於	c=1 d=0.241714 t=2795
ji zhu 	記住	c=0 d=0.1 t=2473
jia 	夾	c=4 d=0.0699482 t=2795
jia 	家	c=2 d=1.97531 t=2309
jia qi 	假期	c=2 d=0.0784731 t=2795
jia ru 	加入	c=3 d=2.95072 t=1380
